year,rider_id,name,round,round_label,stg,gc,pc,kom,spr,sum,bky,ass,tot
2023,20230019,Felix Gall,16,Stage 16,35,11,0,1,0,0,0,0,47
2023,20230019,Felix Gall,17,Stage 17,220,13,0,8,0,40,0,0,281
2023,20230019,Felix Gall,18,Stage 18,0,13,0,8,0,0,0,0,21
2023,20230019,Felix Gall,19,Stage 19,0,13,0,8,0,0,0,2,23
2023,20230019,Felix Gall,20,Stage 20,180,13,0,8,0,15,0,0,216
2023,20230019,Felix Gall,21,Stage 21,0,13,0,8,0,0,0,0,21
2023,20230019,Felix Gall,22,Final Classifications,0,200,0,100,0,0,0,0,300
2023,20230505,Carlos Rodríguez,1,Stage 1,35,8,0,0,0,0,0,0,43
2023,20230505,Carlos Rodríguez,2,Stage 2,16,11,0,0,0,0,0,2,29
2023,20230505,Carlos Rodríguez,3,Stage 3,0,12,0,0,0,0,0,2,14
2023,20230505,Carlos Rodríguez,4,Stage 4,0,11,0,0,0,0,0,2,13
2023,20230505,Carlos Rodríguez,5,Stage 5,60,12,0,0,0,0,0,4,76
2023,20230505,Carlos Rodríguez,6,Stage 6,95,16,0,0,0,0,0,4,115
2023,20230505,Carlos Rodríguez,7,Stage 7,4,16,0,0,0,0,0,4,24
2023,20230505,Carlos Rodríguez,8,Stage 8,0,18,0,0,0,0,0,4,22
2023,20230505,Carlos Rodríguez,9,Stage 9,16,18,0,0,0,0,0,4,38
2023,20230505,Carlos Rodríguez,10,Stage 10,0,18,0,0,0,0,0,4,22
2023,20230505,Carlos Rodríguez,11,Stage 11,0,18,0,0,0,0,0,4,22
2023,20230505,Carlos Rodríguez,12,Stage 12,0,18,0,0,0,0,0,4,22
2023,20230505,Carlos Rodríguez,13,Stage 13,50,18,0,0,0,0,0,16,84
2023,20230505,Carlos Rodríguez,14,Stage 14,220,22,0,0,0,20,0,8,270
2023,20230505,Carlos Rodríguez,15,Stage 15,8,22,0,0,0,0,0,4,34
2023,20230505,Carlos Rodríguez,16,Stage 16,40,18,0,0,0,0,0,0,58
2023,20230505,Carlos Rodríguez,17,Stage 17,25,18,0,0,0,0,0,2,45
2023,20230505,Carlos Rodríguez,18,Stage 18,0,18,0,0,0,0,0,2,20
2023,20230505,Carlos Rodríguez,19,Stage 19,0,18,0,0,0,0,0,0,18
2023,20230505,Carlos Rodríguez,20,Stage 20,40,16,0,0,0,0,0,2,58
2023,20230505,Carlos Rodríguez,21,Stage 21,0,16,0,0,0,0,0,2,18
2023,20230505,Carlos Rodríguez,22,Final Classifications,0,300,0,0,0,0,0,30,330
2023,20230933,Mads Pedersen,1,Stage 1,0,0,0,0,5,0,0,0,5
